iter	Passed	Remaining
0	1	184
1	3	169
2	5	167
3	6	160
4	8	158
5	10	159
6	11	158
7	13	160
8	16	162
9	17	160
10	19	157
11	21	156
12	22	153
13	24	151
14	26	149
15	27	146
16	29	145
17	31	144
18	33	141
19	35	140
20	36	137
21	38	136
22	40	134
23	41	131
24	43	129
25	44	127
26	46	125
27	48	124
28	49	122
29	51	120
30	53	118
31	54	116
32	56	114
33	58	113
34	59	111
35	61	109
36	63	107
37	64	105
38	66	103
39	67	101
40	69	99
41	70	96
42	71	94
43	73	93
44	74	91
45	76	89
46	77	87
47	79	86
48	80	84
49	82	82
50	84	80
51	85	79
52	87	77
53	88	75
54	89	73
55	91	71
56	92	70
57	94	68
58	95	66
59	97	65
60	99	63
61	100	61
62	102	59
63	103	58
64	105	56
65	106	55
66	108	53
67	110	51
68	111	50
69	113	48
70	114	46
71	116	45
72	117	43
73	119	41
74	121	40
75	122	38
76	124	37
77	126	35
78	127	33
79	129	32
80	131	30
81	132	29
82	134	27
83	136	25
84	137	24
85	139	22
86	141	21
87	142	19
88	144	17
89	146	16
90	147	14
91	149	12
92	151	11
93	152	9
94	154	8
95	156	6
96	157	4
97	159	3
98	161	1
99	162	0
