iter	Passed	Remaining
0	146	145946
1	147	73480
2	148	49335
3	149	37211
4	150	29886
5	150	25000
6	152	21574
7	153	19003
8	154	16972
9	154	15338
10	155	13997
11	156	12875
12	157	11925
13	158	11137
14	158	10432
15	159	9817
16	160	9281
17	161	8797
18	161	8363
19	162	7981
20	163	7644
21	164	7322
22	165	7026
23	166	6754
24	166	6503
25	167	6272
26	168	6057
27	168	5858
28	169	5683
29	170	5515
30	171	5357
31	172	5217
32	173	5079
33	174	4955
34	175	4848
35	177	4755
36	178	4646
37	179	4539
38	180	4438
39	180	4341
40	181	4253
41	182	4172
42	183	4093
43	184	4010
44	185	3932
45	185	3857
46	186	3785
47	187	3719
48	188	3655
49	189	3595
50	189	3535
51	190	3476
52	191	3421
53	192	3366
54	192	3315
55	193	3267
56	194	3217
57	195	3170
58	195	3125
59	196	3084
60	197	3044
61	214	3240
62	215	3198
63	215	3157
64	216	3116
65	217	3077
66	218	3038
67	219	3001
68	219	2965
69	220	2930
70	221	2894
71	221	2860
72	222	2827
73	223	2796
74	224	2764
75	224	2733
76	225	2703
77	226	2676
78	227	2649
79	228	2622
80	228	2596
81	229	2570
82	230	2541
83	230	2516
84	231	2492
85	232	2469
86	233	2445
87	233	2423
88	234	2401
89	235	2379
90	236	2357
91	236	2337
92	237	2316
93	238	2299
94	239	2281
95	240	2261
96	240	2242
97	241	2223
98	242	2205
99	242	2186
100	243	2168
101	244	2152
102	245	2135
103	246	2120
104	246	2104
105	247	2088
106	248	2073
107	249	2057
108	249	2042
109	250	2028
110	251	2014
111	252	2000
112	253	1986
113	253	1971
114	254	1957
115	255	1944
116	255	1929
117	256	1917
118	257	1905
119	258	1893
120	258	1881
121	259	1869
122	260	1857
123	261	1845
124	261	1833
125	262	1823
126	263	1814
127	264	1805
128	265	1794
129	266	1783
130	267	1772
131	267	1761
132	268	1750
133	269	1740
134	269	1729
135	270	1719
136	271	1709
137	271	1698
138	272	1689
139	273	1679
140	274	1669
141	274	1658
142	275	1650
143	276	1641
144	276	1631
145	277	1622
146	278	1613
147	278	1605
148	279	1596
149	280	1587
150	280	1578
151	281	1571
152	282	1564
153	283	1557
154	284	1549
155	284	1541
156	285	1533
157	286	1525
158	286	1517
159	287	1510
160	288	1501
161	289	1495
162	289	1487
163	290	1480
164	291	1472
165	291	1465
166	292	1458
167	293	1451
168	293	1444
169	294	1438
170	295	1433
171	296	1428
172	297	1422
173	298	1416
174	299	1410
175	299	1403
176	300	1397
177	301	1391
178	302	1385
179	302	1379
180	303	1373
181	304	1368
182	305	1362
183	305	1356
184	306	1350
185	307	1344
186	308	1339
187	308	1333
188	309	1327
189	310	1322
190	310	1316
191	311	1311
192	312	1305
193	312	1300
194	313	1295
195	314	1290
196	315	1285
197	316	1280
198	316	1275
199	317	1270
200	318	1265
201	319	1260
202	320	1256
203	321	1252
204	321	1247
205	322	1243
206	323	1238
207	324	1233
208	324	1229
209	325	1224
210	326	1221
211	327	1217
212	328	1214
213	329	1210
214	330	1205
215	330	1201
216	331	1196
217	332	1192
218	333	1187
219	333	1183
220	334	1178
221	335	1174
222	335	1170
223	336	1166
224	337	1161
225	337	1157
226	338	1153
227	339	1149
228	340	1145
229	340	1141
230	341	1137
231	342	1133
232	343	1129
233	343	1125
234	344	1121
235	345	1118
236	346	1115
237	347	1111
238	347	1107
239	348	1103
240	349	1100
241	349	1096
242	350	1092
243	351	1088
244	352	1085
245	353	1082
246	354	1080
247	355	1077
248	356	1074
249	357	1071
250	358	1068
251	358	1065
252	359	1062
253	360	1058
254	361	1056
255	362	1053
256	363	1050
257	364	1047
258	365	1045
259	366	1041
260	366	1038
261	367	1035
262	368	1032
263	369	1028
264	369	1025
265	370	1023
266	371	1020
267	372	1016
268	372	1013
269	373	1010
270	374	1006
271	374	1003
272	375	1000
273	376	998
274	377	996
275	378	993
276	379	990
277	380	987
278	380	984
279	381	981
280	382	978
281	398	1015
282	399	1012
283	400	1010
284	401	1007
285	402	1004
286	402	1000
287	403	998
288	404	995
289	405	992
290	406	989
291	406	986
292	407	983
293	408	980
294	408	977
295	409	974
296	410	971
297	411	969
298	412	966
299	412	963
300	413	960
301	414	957
302	414	954
303	415	951
304	416	948
305	417	946
306	418	944
307	419	942
308	420	939
309	420	936
310	421	934
311	422	931
312	423	928
313	424	926
314	424	923
315	425	920
316	426	917
317	426	915
318	427	912
319	428	909
320	428	906
321	429	904
322	430	901
323	430	898
324	431	896
325	432	893
326	432	890
327	433	888
328	434	885
329	434	883
330	436	881
331	437	879
332	437	876
333	438	874
334	439	871
335	439	869
336	440	866
337	441	864
338	442	862
339	443	860
340	443	857
341	444	855
342	445	852
343	445	850
344	446	848
345	447	845
346	448	843
347	449	841
348	450	839
349	451	838
350	452	835
351	452	833
352	453	831
353	454	829
354	455	827
355	456	825
356	457	823
357	458	821
358	458	818
359	459	816
360	460	814
361	460	812
362	461	810
363	462	808
364	463	805
365	463	803
366	464	801
367	465	798
368	465	796
369	466	794
370	467	792
371	468	790
372	468	788
373	469	786
374	470	784
375	471	781
376	471	779
377	472	777
378	473	775
379	473	773
380	474	771
381	475	769
382	476	767
383	477	765
384	478	763
385	478	761
386	479	759
387	480	757
388	481	755
389	481	753
390	482	751
391	483	749
392	484	748
393	485	746
394	486	744
395	486	742
396	487	740
397	488	738
398	488	736
399	489	734
400	490	732
401	490	730
402	491	728
403	492	726
404	493	724
405	494	722
406	494	720
407	495	719
408	496	717
409	497	715
410	497	713
411	498	712
412	499	710
413	500	708
414	501	707
415	502	705
416	503	703
417	504	701
418	504	700
419	505	698
420	506	696
421	507	694
422	507	692
423	508	690
424	509	688
425	509	687
426	510	685
427	511	683
428	512	681
429	512	679
430	513	678
431	514	676
432	515	674
433	515	672
434	516	670
435	517	669
436	517	667
437	518	665
438	519	663
439	520	662
440	520	660
441	521	658
442	522	656
443	522	654
444	523	653
445	524	651
446	525	649
447	526	648
448	526	646
449	527	644
450	528	643
451	529	641
452	529	639
453	530	637
454	531	636
455	531	634
456	532	633
457	533	631
458	534	629
459	535	628
460	535	626
461	536	624
462	537	623
463	538	621
464	538	620
465	539	618
466	540	616
467	540	614
468	541	613
469	542	611
470	542	609
471	543	608
472	544	606
473	545	605
474	545	603
475	546	601
476	547	600
477	547	598
478	548	596
479	549	595
480	549	593
481	550	591
482	551	590
483	552	588
484	552	587
485	553	585
486	554	584
487	555	582
488	555	580
489	556	579
490	557	577
491	558	576
492	558	574
493	559	573
494	560	571
495	560	570
496	561	568
497	562	566
498	563	565
499	563	563
500	564	562
501	565	561
502	566	559
503	567	558
504	567	556
505	568	554
506	569	553
